## ==== necessary ====
## .map file, put your maps in /map folder
map_file=ht_chantry.map
## map_file=den520d.map

## number of agents
agents=300

## ==== custom =======
## seed of randomization
seed=6

## true  -> random starts/goals
## false -> use custom starts/goals
random_problem=0

## timestep limit
max_timestep=100000

## computation time limit, ms
max_comp_time=60000

## custom starts/goals
## invalid when random_problem=1 or scen_file exists
## (x_s, y_s, x_g, y_g)
## (0, 0): left-top corner
# 0,0,4,0


81,129,56,38
45,88,31,46
130,70,75,53
29,51,30,61
91,88,82,13
50,61,45,94
59,69,73,50
82,123,93,68
97,73,76,36
49,110,91,62
37,88,118,62
100,78,114,67
67,32,90,52
82,99,71,5
80,88,67,50
99,57,51,105
137,63,60,21
41,101,101,55
73,9,27,109
110,72,75,128
86,76,71,113
51,116,57,112
43,46,87,40
30,60,83,60
85,46,82,12
68,102,98,96
59,94,98,28
82,71,106,65
34,24,98,115
133,70,78,23
100,54,52,114
50,50,99,32
125,51,97,83
70,47,100,86
85,64,28,87
70,119,84,118
51,113,70,24
101,83,51,111
101,72,137,76
30,85,72,133
52,15,100,74
52,19,99,89
84,94,42,21
31,98,80,45
60,77,31,39
62,35,129,77
98,35,46,91
30,84,98,27
82,31,77,58
50,106,54,93
77,63,70,117
96,32,130,53
49,112,122,60
147,66,135,68
93,36,93,55
37,118,84,125
71,129,140,70
75,66,87,29
62,113,99,30
43,44,130,72
29,58,88,103
113,70,118,76
36,41,66,79
50,13,99,111
66,20,29,55
52,57,93,46
134,63,57,119
99,113,147,65
45,24,49,102
78,74,32,42
58,63,79,84
130,81,28,57
128,70,50,39
90,69,72,112
29,45,73,118
128,80,79,63
127,55,153,80
73,8,100,68
92,119,98,109
84,16,27,60
68,118,82,40
96,87,87,20
86,114,50,29
36,89,61,114
81,50,28,56
92,94,88,46
80,24,76,87
97,88,82,27
95,76,82,68
117,72,83,71
77,15,93,79
64,111,50,105
90,40,84,31
27,115,87,87
52,35,64,104
71,125,43,93
114,66,105,73
129,59,86,36
48,104,89,26
55,45,100,45
129,66,56,26
49,27,29,37
88,45,139,85
90,109,73,120
87,49,40,110
77,91,59,119
100,95,136,60
122,65,36,101
88,25,131,66
54,119,68,91
85,83,55,49
119,60,57,101
113,72,85,117
66,66,107,72
71,128,83,92
126,60,56,104
96,84,63,95
88,94,132,66
63,62,53,93
136,65,54,105
64,76,49,116
95,75,140,85
29,38,94,93
31,87,28,90
98,104,57,40
47,28,85,65
36,37,77,20
73,15,69,20
69,76,93,63
101,39,80,111
62,64,80,16
133,75,122,53
79,103,69,92
27,98,94,56
27,87,38,102
77,81,129,70
90,60,80,9
97,71,73,25
58,31,86,52
70,128,102,38
126,88,139,84
98,42,100,41
116,62,99,55
82,72,58,48
37,113,57,104
98,67,59,88
51,102,50,71
82,108,61,75
55,30,75,109
43,97,69,115
30,49,112,66
79,123,89,48
51,59,126,65
44,98,71,93
78,28,60,88
50,108,79,115
154,61,119,72
26,100,47,71
54,107,77,23
56,36,28,94
58,52,98,60
149,71,129,58
46,22,71,123
112,71,86,113
27,113,56,25
132,62,128,56
75,91,50,60
35,102,91,23
51,13,52,45
124,75,100,43
50,16,54,90
64,21,62,112
28,48,67,54
38,42,80,10
44,55,60,111
68,31,47,72
129,78,63,49
33,112,68,92
80,130,121,65
66,100,56,46
36,20,60,100
39,84,66,89
80,37,53,118
40,94,124,70
135,60,32,50
27,19,138,88
54,40,76,20
26,114,44,115
32,86,83,23
66,35,50,78
109,68,80,11
63,54,100,62
47,110,39,102
69,38,102,60
123,65,37,109
51,56,99,104
48,101,54,48
150,67,103,76
75,60,97,32
106,72,85,19
148,71,28,100
72,134,92,100
80,125,100,107
31,113,66,53
89,76,128,79
102,103,31,109
79,16,59,28
133,59,94,38
109,65,61,94
70,115,56,23
66,77,56,22
89,54,103,78
78,22,26,68
36,46,78,100
102,78,83,100
100,100,61,29
92,50,44,74
38,41,33,21
62,33,66,31
138,70,79,122
57,102,54,53
118,77,71,37
133,65,87,48
145,71,101,71
82,75,42,43
65,50,126,75
59,118,85,30
91,46,87,23
77,122,133,67
85,111,67,33
36,94,61,102
77,108,81,73
56,53,30,74
101,42,96,112
74,51,77,65
35,37,29,79
95,59,81,29
38,109,58,26
75,49,116,79
135,86,59,110
127,78,83,47
82,55,57,29
49,64,46,38
74,39,92,22
64,102,54,50
63,25,53,68
75,14,66,39
98,51,57,111
68,53,138,77
60,25,157,71
135,61,145,75
134,85,61,106
51,82,97,113
81,52,97,42
52,68,100,47
142,83,85,55
31,21,69,108
45,49,69,49
29,117,32,48
59,90,78,25
65,68,84,5
45,29,81,27
69,9,28,99
101,82,47,29
71,116,132,86
108,64,32,30
41,99,42,95
66,114,78,128
26,112,96,26
41,52,28,91
79,55,60,59
59,52,54,65
42,50,35,117
46,24,58,28
152,78,26,59
46,103,69,71
37,89,63,44
53,81,71,102
45,30,66,24
60,33,100,77
45,63,28,117
76,53,40,95
101,32,79,110
76,26,97,91
74,127,86,23
124,60,86,50
81,88,66,68
67,107,111,71
72,99,31,42
115,75,113,63
52,29,83,66
43,41,91,31
107,61,101,21
88,55,51,73
28,67,66,127
49,66,82,24
79,117,81,127
53,49,45,23
81,40,75,22
